epoch,avg_reward,collision_rate,boundary_collision_rate,infeasible_qp_rate,deadlock_rate,avg_time_to_goal_i,avg_time_to_goal_j,avg_abs_y_i,avg_abs_y_j,min_intervehicle_clearance
1,1.974048,0.0,0.9,0.0,0.9,6.2,8.1,0.551725,0.588799,1.332266
100,5.979065,0.1,0.1,0.0,0.1,8.288889,9.26,0.549252,0.537026,0.052413
200,1.749422,0.8,0.4,0.0,1.0,nan,nan,0.376002,0.378845,-0.006369
300,5.944039,0.0,0.2,0.1,0.1,8.211111,9.185714,0.548755,0.684363,0.291622
320,4.155323,0.0,0.6,0.0,0.6,8.225,9.125,0.533596,0.584857,0.134283
340,3.897512,0.2,0.5,0.0,0.7,8.066667,8.866667,0.505439,0.581701,0.044014
360,4.364834,0.2,0.4,0.0,0.5,7.96,8.85,0.458283,0.538145,0.13684
380,6.463249,0.0,0.1,0.0,0.1,8.2,9.35,0.571271,0.621287,0.176366
400,4.773081,0.2,0.3,0.0,0.5,7.82,8.9,0.496605,0.541794,0.100142
420,6.14877,0.2,0.0,0.0,0.2,7.875,9.0625,0.480047,0.503294,0.093724
440,5.419687,0.1,0.3,0.1,0.3,8.085714,9.228571,0.52805,0.659174,0.100777
460,4.971333,0.3,0.0,0.1,0.3,8.142857,9.2,0.447708,0.479323,0.073647
480,4.988614,0.4,0.0,0.0,0.4,8.0,9.233333,0.474562,0.489642,0.055451
500,6.47766,0.1,0.0,0.0,0.1,8.177778,9.311111,0.466692,0.554655,0.17688
520,5.7553,0.0,0.0,0.2,0.2,8.225,9.233333,0.575399,0.625937,0.221701
540,5.597868,0.0,0.1,0.1,0.1,8.411111,9.733333,0.582336,0.623696,0.164694
560,6.416243,0.1,0.0,0.0,0.1,8.2,9.3,0.477441,0.560141,0.114126
580,6.384169,0.1,0.1,0.0,0.1,7.922222,8.916667,0.487861,0.54643,0.138187
600,5.932982,0.1,0.3,0.0,0.1,8.144444,8.98,0.512642,0.564663,0.140023
620,6.251265,0.1,0.1,0.0,0.1,8.155556,9.266667,0.497486,0.583683,0.114955
640,6.709689,0.0,0.2,0.0,0.0,8.02,8.933333,0.520508,0.591533,0.107494
660,7.140105,0.0,0.2,0.0,0.0,7.73,8.9375,0.515777,0.581092,0.138913
680,6.177895,0.1,0.0,0.1,0.2,7.8,9.2,0.498998,0.593828,0.130971
700,7.221908,0.1,0.1,0.0,0.0,7.84,8.8,0.495248,0.563528,0.061444
720,7.439147,0.0,0.0,0.0,0.0,7.78,8.83,0.534504,0.513836,0.132538
740,6.546821,0.1,0.1,0.0,0.1,7.911111,8.971429,0.495613,0.551077,0.089453
760,5.828931,0.2,0.0,0.0,0.2,8.175,9.2625,0.574128,0.514619,0.140376
780,5.094253,0.2,0.3,0.0,0.2,8.025,9.08,0.600877,0.509724,0.158248
800,4.115966,0.0,0.5,0.2,0.6,8.175,9.0,0.629582,0.614137,0.096081
820,6.389546,0.2,0.0,0.0,0.2,7.8,8.7625,0.435102,0.462917,0.065874
840,6.672193,0.0,0.2,0.0,0.2,7.8625,8.8875,0.571575,0.502417,0.169754
860,3.075303,0.7,0.1,0.0,0.8,7.5,8.4,0.414137,0.389249,0.001453
880,4.793578,0.2,0.4,0.0,0.6,7.675,8.775,0.569838,0.508566,0.058894
890,4.879305,0.3,0.3,0.0,0.3,8.028571,8.975,0.508513,0.491017,0.054257
900,4.397855,0.2,0.4,0.1,0.3,7.928571,8.7,0.553069,0.545723,0.081993
910,5.165482,0.2,0.3,0.0,0.4,7.75,8.625,0.55778,0.514571,0.143821
920,5.561855,0.1,0.4,0.0,0.2,7.7625,8.68,0.591638,0.579126,0.089586
930,4.100468,0.4,0.3,0.0,0.7,7.3,8.333333,0.574805,0.51145,0.047289
936,5.827056,0.1,0.1,0.2,0.4,7.3,8.4,0.594491,0.489799,0.136835
937,6.606856,0.1,0.0,0.1,0.2,7.4875,8.625,0.548315,0.492619,0.101421
938,6.821831,0.1,0.1,0.0,0.2,7.4375,8.5625,0.537212,0.483909,0.128529
939,7.215545,0.1,0.0,0.0,0.1,7.455556,8.544444,0.519617,0.480535,0.140829
940,6.277715,0.2,0.1,0.0,0.2,7.5625,8.642857,0.518226,0.475545,0.117213
941,6.103347,0.2,0.1,0.0,0.2,7.5625,8.714286,0.538708,0.470097,0.121733
942,6.088581,0.0,0.2,0.1,0.3,7.557143,8.728571,0.584742,0.488209,0.154032
943,5.576946,0.2,0.1,0.1,0.3,7.585714,8.65,0.54937,0.458522,0.106422
944,4.282279,0.3,0.3,0.0,0.6,7.75,8.85,0.555372,0.470009,0.076891
945,7.058519,0.1,0.0,0.0,0.1,7.644444,8.733333,0.522847,0.464876,0.109089
946,6.538195,0.1,0.0,0.1,0.2,7.575,8.6875,0.550812,0.488715,0.135558
947,7.646845,0.0,0.0,0.0,0.0,7.63,8.7,0.555911,0.515729,0.132056
948,7.08078,0.0,0.1,0.0,0.1,7.688889,8.711111,0.564151,0.497911,0.15464
949,7.046291,0.0,0.1,0.0,0.1,7.7,8.744444,0.566451,0.497961,0.129497
950,6.320889,0.0,0.2,0.0,0.2,7.8,8.9625,0.58426,0.51951,0.121149
951,4.304475,0.2,0.3,0.1,0.6,7.8,8.9,0.618175,0.497709,0.092372
952,6.039861,0.1,0.1,0.1,0.2,7.775,8.771429,0.591021,0.519063,0.110281
953,6.537986,0.0,0.1,0.1,0.2,7.7,8.8625,0.611258,0.531031,0.132428
954,6.175563,0.0,0.1,0.2,0.3,7.6,8.671429,0.645823,0.526878,0.127694
955,5.818396,0.2,0.0,0.1,0.3,7.7,8.785714,0.585353,0.480227,0.106553
956,7.07537,0.0,0.1,0.0,0.0,7.79,8.844444,0.60321,0.54209,0.138428
957,6.928412,0.0,0.0,0.1,0.1,7.7,8.8,0.591318,0.547175,0.150304
958,7.017383,0.0,0.1,0.0,0.1,7.711111,8.755556,0.582079,0.494115,0.190711
959,7.505079,0.0,0.0,0.0,0.0,7.73,8.79,0.558182,0.488441,0.194744
960,7.526386,0.0,0.0,0.0,0.0,7.73,8.79,0.562185,0.485075,0.183529
961,6.915973,0.0,0.1,0.0,0.1,7.788889,8.822222,0.603234,0.471139,0.203126
962,7.231953,0.0,0.1,0.0,0.0,7.76,8.744444,0.610335,0.488568,0.153584
963,7.589565,0.0,0.0,0.0,0.0,7.68,8.73,0.57565,0.476985,0.16839
964,6.500885,0.1,0.1,0.0,0.2,7.5875,8.6375,0.555152,0.430906,0.215117
965,6.525133,0.1,0.1,0.0,0.2,7.5625,8.575,0.569603,0.425455,0.225142
966,7.178488,0.1,0.0,0.0,0.1,7.522222,8.488889,0.556714,0.445213,0.219673
967,7.274016,0.1,0.0,0.0,0.1,7.444444,8.377778,0.537319,0.437084,0.228346
968,7.294333,0.1,0.0,0.0,0.1,7.433333,8.344444,0.539262,0.436523,0.213634
969,7.333773,0.1,0.0,0.0,0.1,7.444444,8.3,0.536152,0.436439,0.222982
970,7.363751,0.1,0.0,0.0,0.1,7.411111,8.244444,0.537385,0.435702,0.223506
971,7.294339,0.1,0.0,0.0,0.1,7.455556,8.333333,0.53582,0.439863,0.245547
972,7.358994,0.1,0.0,0.0,0.1,7.433333,8.3,0.537975,0.43914,0.234452
973,7.235286,0.1,0.0,0.0,0.1,7.477778,8.4,0.536897,0.453641,0.240255
974,7.279495,0.1,0.0,0.0,0.1,7.433333,8.366667,0.527765,0.452149,0.244782
975,7.234409,0.1,0.0,0.0,0.1,7.477778,8.366667,0.536743,0.446073,0.230555
976,7.21104,0.1,0.0,0.0,0.1,7.5,8.444444,0.533221,0.459655,0.243915
977,7.250589,0.1,0.0,0.0,0.1,7.455556,8.388889,0.534978,0.449751,0.246528
978,7.248755,0.1,0.0,0.0,0.1,7.455556,8.377778,0.532958,0.449171,0.24694
979,7.273821,0.0,0.1,0.0,0.1,7.5,8.411111,0.556652,0.456147,0.267304
980,6.549499,0.0,0.2,0.0,0.2,7.6125,8.6125,0.560145,0.455343,0.245769
981,7.08883,0.0,0.1,0.0,0.1,7.622222,8.633333,0.569179,0.4851,0.251381
982,7.113546,0.0,0.1,0.0,0.1,7.644444,8.677778,0.571562,0.509802,0.259186
983,6.892632,0.0,0.0,0.2,0.1,7.555556,8.525,0.586516,0.495057,0.243545
984,7.638588,0.0,0.0,0.0,0.0,7.6,8.66,0.570451,0.486924,0.242339
985,7.030011,0.0,0.1,0.0,0.1,7.644444,8.688889,0.555595,0.47513,0.243395
986,6.592159,0.0,0.2,0.0,0.2,7.5125,8.625,0.552771,0.454689,0.274472
987,7.794394,0.0,0.0,0.0,0.0,7.48,8.51,0.558191,0.479783,0.24675
988,7.832012,0.0,0.0,0.0,0.0,7.45,8.46,0.563633,0.473476,0.278463
989,7.156632,0.0,0.1,0.0,0.1,7.566667,8.6,0.559195,0.472826,0.251412
990,6.594498,0.0,0.2,0.0,0.2,7.575,8.6,0.56531,0.448225,0.253665
991,6.564651,0.0,0.2,0.0,0.2,7.55,8.65,0.554914,0.439115,0.249295
992,7.073089,0.0,0.1,0.0,0.1,7.622222,8.733333,0.573641,0.46725,0.244548
993,7.0634,0.0,0.1,0.0,0.1,7.611111,8.666667,0.570305,0.463228,0.25377
994,6.469101,0.0,0.2,0.0,0.2,7.625,8.7875,0.574362,0.473474,0.213807
995,7.54563,0.0,0.0,0.0,0.0,7.65,8.78,0.58117,0.492818,0.217774
996,7.434755,0.0,0.0,0.0,0.0,7.75,8.85,0.57473,0.509454,0.259416
997,7.471248,0.0,0.0,0.0,0.0,7.73,8.86,0.57675,0.500812,0.304964
998,6.850048,0.0,0.0,0.1,0.1,7.766667,8.944444,0.60296,0.506805,0.266463
999,7.365637,0.0,0.0,0.0,0.0,7.75,8.93,0.589363,0.49402,0.295672
1000,6.386318,0.0,0.0,0.2,0.2,7.725,8.9625,0.620743,0.521211,0.267196
