epoch,avg_reward,collision_rate,boundary_collision_rate,infeasible_qp_rate,deadlock_rate,avg_time_to_goal_upper,avg_abs_y_upper,min_intervehicle_clearance_upper,avg_time_to_goal_mid,avg_abs_y_mid,min_intervehicle_clearance_mid,avg_time_to_goal_lower,avg_abs_y_lower,min_intervehicle_clearance_lower
1,nan,0.9,0.1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,8.637663,0.0,0.0,0.0,0.0,6.19,0.334574,0.311484,7.4,0.1604,0.311484,4.51,0.424623,0.826661
40,8.876197,0.0,0.0,0.0,0.0,5.9,0.322838,0.482799,7.12,0.119705,0.558618,4.24,0.424698,0.599656
60,8.940175,0.0,0.0,0.0,0.0,5.75,0.269197,0.580971,7.08,0.111334,0.580971,4.23,0.423513,0.966481
80,8.868702,0.0,0.0,0.0,0.0,5.82,0.249374,0.672261,7.19,0.169033,0.964972,4.23,0.423513,0.787944
100,8.911383,0.0,0.0,0.0,0.0,5.78,0.283227,0.849088,7.13,0.132961,0.849088,4.23,0.423513,1.296605
120,8.943603,0.0,0.0,0.0,0.0,5.63,0.255686,0.623419,7.12,0.157028,1.112743,4.23,0.423513,0.623419
140,8.905845,0.0,0.0,0.0,0.0,5.84,0.309115,0.594342,7.1,0.096428,0.613009,4.23,0.423513,0.698188
160,8.85726,0.0,0.0,0.0,0.0,5.93,0.239029,0.43533,7.15,0.136129,0.562775,4.23,0.423513,0.74142
180,8.845586,0.0,0.0,0.0,0.0,5.87,0.222067,0.825474,7.25,0.169535,1.055056,4.23,0.423513,0.98456
200,8.840265,0.0,0.0,0.0,0.0,5.81,0.23302,1.128908,7.29,0.183217,1.146579,4.23,0.423513,1.478249
